id,text,source_system_name,source_table_name,source_field_name,source_field_desc,sap_table_name,sap_field_name,sap_field_desc
mapping_D:\antigravity\TIC\EXCEL\历史设计书\091_IFZ9000105(管理番号10112)_インタフェース項目定義書_国内出荷連絡データ_R0.81.xlsx_8_forward,[source_system:倉庫システム] [source_table:] [source_field:DSYKDDD] [source_description:出荷日],倉庫システム,,DSYKDDD,出荷日,LIKP,WADAT_IST,実在庫移動日付
mapping_D:\antigravity\TIC\EXCEL\历史设计书\091_IFZ9000105(管理番号10112)_インタフェース項目定義書_国内出荷連絡データ_R0.81.xlsx_8_backward,[source_system:部品SAP] [source_table:LIKP] [source_field:WADAT_IST] [source_description:実在庫移動日付],部品SAP,LIKP,WADAT_IST,実在庫移動日付,,DSYKDDD,出荷日
mapping_D:\antigravity\TIC\EXCEL\历史设计书\091_IFZ9000105(管理番号10112)_インタフェース項目定義書_国内出荷連絡データ_R0.81.xlsx_9_forward,[source_system:倉庫システム] [source_table:] [source_field:BSYR] [source_description:出荷連絡No],倉庫システム,,BSYR,出荷連絡No,LIKP,VBELN,出荷伝票番号
mapping_D:\antigravity\TIC\EXCEL\历史设计书\091_IFZ9000105(管理番号10112)_インタフェース項目定義書_国内出荷連絡データ_R0.81.xlsx_9_backward,[source_system:部品SAP] [source_table:LIKP] [source_field:VBELN] [source_description:出荷伝票番号],部品SAP,LIKP,VBELN,出荷伝票番号,,BSYR,出荷連絡No
mapping_D:\antigravity\TIC\EXCEL\历史设计书\091_IFZ9000105(管理番号10112)_インタフェース項目定義書_国内出荷連絡データ_R0.81.xlsx_10_forward,[source_system:倉庫システム] [source_table:] [source_field:BSYRGYO] [source_description:出荷連絡L#],倉庫システム,,BSYRGYO,出荷連絡L#,LIPS,POSNR,出荷伝票明細番号
mapping_D:\antigravity\TIC\EXCEL\历史设计书\091_IFZ9000105(管理番号10112)_インタフェース項目定義書_国内出荷連絡データ_R0.81.xlsx_10_backward,[source_system:部品SAP] [source_table:LIPS] [source_field:POSNR] [source_description:出荷伝票明細番号],部品SAP,LIPS,POSNR,出荷伝票明細番号,,BSYRGYO,出荷連絡L#
mapping_D:\antigravity\TIC\EXCEL\历史设计书\091_IFZ9000105(管理番号10112)_インタフェース項目定義書_国内出荷連絡データ_R0.81.xlsx_14_forward,[source_system:倉庫システム] [source_table:] [source_field:BYUS] [source_description:便コード],倉庫システム,,BYUS,便コード,LIKP,VSART,出荷タイプ
mapping_D:\antigravity\TIC\EXCEL\历史设计书\091_IFZ9000105(管理番号10112)_インタフェース項目定義書_国内出荷連絡データ_R0.81.xlsx_14_backward,[source_system:部品SAP] [source_table:LIKP] [source_field:VSART] [source_description:出荷タイプ],部品SAP,LIKP,VSART,出荷タイプ,,BYUS,便コード
mapping_D:\antigravity\TIC\EXCEL\历史设计书\091_IFZ9000105(管理番号10112)_インタフェース項目定義書_国内出荷連絡データ_R0.81.xlsx_15_forward,[source_system:倉庫システム] [source_table:] [source_field:BUNS] [source_description:運送会社コード],倉庫システム,,BUNS,運送会社コード,LIPS,AESKD,得意先設計変更ステータス
mapping_D:\antigravity\TIC\EXCEL\历史设计书\091_IFZ9000105(管理番号10112)_インタフェース項目定義書_国内出荷連絡データ_R0.81.xlsx_15_backward,[source_system:部品SAP] [source_table:LIPS] [source_field:AESKD] [source_description:得意先設計変更ステータス],部品SAP,LIPS,AESKD,得意先設計変更ステータス,,BUNS,運送会社コード
mapping_D:\antigravity\TIC\EXCEL\历史设计书\091_IFZ9000105(管理番号10112)_インタフェース項目定義書_国内出荷連絡データ_R0.81.xlsx_17_forward,[source_system:倉庫システム] [source_table:] [source_field:SKUC] [source_description:口数],倉庫システム,,SKUC,口数,LIPS,EAN11,国際商品コード (EAN/UPC)
mapping_D:\antigravity\TIC\EXCEL\历史设计书\091_IFZ9000105(管理番号10112)_インタフェース項目定義書_国内出荷連絡データ_R0.81.xlsx_17_backward,[source_system:部品SAP] [source_table:LIPS] [source_field:EAN11] [source_description:国際商品コード (EAN/UPC)],部品SAP,LIPS,EAN11,国際商品コード (EAN/UPC),,SKUC,口数
mapping_D:\antigravity\TIC\EXCEL\历史设计书\091_IFZ9000105(管理番号10112)_インタフェース項目定義書_国内出荷連絡データ_R0.81.xlsx_20_forward,[source_system:倉庫システム] [source_table:] [source_field:BNFD] [source_description:荷札№],倉庫システム,,BNFD,荷札№,LIPS,AESKD,得意先設計変更ステータス
mapping_D:\antigravity\TIC\EXCEL\历史设计书\091_IFZ9000105(管理番号10112)_インタフェース項目定義書_国内出荷連絡データ_R0.81.xlsx_20_backward,[source_system:部品SAP] [source_table:LIPS] [source_field:AESKD] [source_description:得意先設計変更ステータス],部品SAP,LIPS,AESKD,得意先設計変更ステータス,,BNFD,荷札№
mapping_D:\antigravity\TIC\EXCEL\历史设计书\091_IFZ9000105(管理番号10112)_インタフェース項目定義書_国内出荷連絡データ_R0.81.xlsx_21_forward,[source_system:倉庫システム] [source_table:] [source_field:SRSYK] [source_description:出荷連絡数],倉庫システム,,SRSYK,出荷連絡数,LIPS,LFIMG,出荷数量実績 (販売単位)
mapping_D:\antigravity\TIC\EXCEL\历史设计书\091_IFZ9000105(管理番号10112)_インタフェース項目定義書_国内出荷連絡データ_R0.81.xlsx_21_backward,[source_system:部品SAP] [source_table:LIPS] [source_field:LFIMG] [source_description:出荷数量実績 (販売単位)],部品SAP,LIPS,LFIMG,出荷数量実績 (販売単位),,SRSYK,出荷連絡数
mapping_D:\antigravity\TIC\EXCEL\历史设计书\091_IFZ9000106(管理番号10124)_インタフェース項目定義書_積送着荷報告データ_R0.81.xlsx_10_forward,[source_system:倉庫システム] [source_table:RZ048] [source_field:DSTYK] [source_description:着荷日],倉庫システム,RZ048,DSTYK,着荷日,MATDOC,BUDAT,転記日付
mapping_D:\antigravity\TIC\EXCEL\历史设计书\091_IFZ9000106(管理番号10124)_インタフェース項目定義書_積送着荷報告データ_R0.81.xlsx_10_backward,[source_system:部品SAP] [source_table:MATDOC] [source_field:BUDAT] [source_description:転記日付],部品SAP,MATDOC,BUDAT,転記日付,RZ048,DSTYK,着荷日
mapping_D:\antigravity\TIC\EXCEL\历史设计书\091_IFZ9000106(管理番号10124)_インタフェース項目定義書_積送着荷報告データ_R0.81.xlsx_12_forward,[source_system:倉庫システム] [source_table:RZ048] [source_field:SSUR] [source_description:数量],倉庫システム,RZ048,SSUR,数量,MATDOC,MENGE,数量
